Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
6322,World Journal of Hepatology,WORLD J HEPATOL,BAISHIDENG PUBLISHING GROUP INC,2.5,3.0,2.5,0.47,Q2,GASTROENTEROLOGY & HEPATOLOGY|Q2|71/143,1948-5182,1948-5182,4304,84,119,7.1,6.1,68/147
6322,Geotechnique Letters,GEOTECH LETT,EMERALD GROUP PUBLISHING LTD,2.5,2.5,2.4,0.46,Q2,"ENGINEERING, GEOLOGICAL|Q3|40/63",2049-825X,2045-2543,1601,32,32,7.4,8.4,31/65
6322,JOURNAL OF ELECTRONIC MATERIALS,J ELECTRON MATER,SPRINGER,2.5,2.2,2.4,0.46,Q2,"PHYSICS, APPLIED|Q3|104/179",0361-5235,1543-186X,18289,765,784,5.7,6.3,182/366
6322,Rural and Remote Health,RURAL REMOTE HEALTH,"COLL MEDICINE & DENTISTRY, JAMES COOK UNIV TOWNSVILLE",2.5,2.6,2.4,0.46,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q3|215/403",1445-6354,N/A,2636,68,79,8.0,7.3,145/419
6322,STEEL RESEARCH INTERNATIONAL,STEEL RES INT,WILEY-V C H VERLAG GMBH,2.5,2.7,2.0,0.46,Q2,METALLURGY & METALLURGICAL ENGINEERING|Q2|37/90,1611-3683,1869-344X,7543,628,634,5.5,7.9,31/96
6322,World Journal of Gastrointestinal Oncology,WORLD J GASTRO ONCOL,BAISHIDENG PUBLISHING GROUP INC,2.5,2.7,2.4,0.46,Q2,ONCOLOGY|Q3|183/322,1948-5204,1948-5204,3066,284,321,4.2,5.1,68/147
6322,BIOTECHNIQUES,BIOTECHNIQUES,TAYLOR & FRANCIS LTD,2.5,2.8,2.4,0.45,Q3,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q4|237/313,0736-6205,1940-9818,5988,42,43,17.6,7.4,45/86
6322,CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,WILEY-V C H VERLAG GMBH,2.5,2.6,2.2,0.45,Q3,"CHEMISTRY, MULTIDISCIPLINARY|Q3|121/230",1612-1872,1612-1880,10622,951,1102,4.4,7.2,123/239
6322,Magnetochemistry,MAGNETOCHEMISTRY,MDPI,2.5,2.6,2.3,0.45,Q2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q3|247/438",N/A,2312-7481,2155,90,100,3.0,7.8,21/42
6322,TRAFFIC,TRAFFIC,WILEY,2.5,4.4,2.5,0.45,Q3,CELL BIOLOGY|Q3|105/205,1398-9219,1600-0854,5750,13,19,12.5,8.7,147/204
6322,Architectural Engineering and Design Management,ARCHIT ENG DES MANAG,TAYLOR & FRANCIS LTD,2.5,3.3,2.1,0.44,Q2,"ENGINEERING, CIVIL|Q2|63/181",1745-2007,1752-7589,1328,63,76,4.7,6.5,74/183
6322,CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,HUMANA PRESS INC,2.5,2.3,2.4,0.44,Q3,CELL BIOLOGY|Q4|179/205,1085-9195,1559-0283,3812,326,417,10.1,6.3,42/79
6322,CURRENT DRUG TARGETS,CURR DRUG TARGETS,BENTHAM SCIENCE PUBL LTD,2.5,3.3,2.5,0.44,Q3,PHARMACOLOGY & PHARMACY|Q2|136/354,1389-4501,1873-5592,6259,3,76,8.4,6.5,181/352
6322,JOURNAL OF BIOMATERIALS APPLICATIONS,J BIOMATER APPL,SAGE PUBLICATIONS LTD,2.5,2.7,2.4,0.44,Q3,"MATERIALS SCIENCE, BIOMATERIALS|Q4|43/53",0885-3282,1530-8022,3830,82,90,6.4,5.8,76/124
6322,Journal of Business-to-Business Marketing,J BUS-BUS MARK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.5,2.6,1.9,0.44,Q3,BUSINESS|Q3|185/302,1051-712X,1547-0628,563,42,45,5.8,8.5,174/316
6322,IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE T NANOTECHNOL,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2.5,2.5,2.3,0.43,Q2,"PHYSICS, APPLIED|Q3|109/179",1536-125X,1941-0085,3811,109,109,7.2,6.3,182/366
6322,Quantitative Plant Biology,QUANT PLANT BIOL,CAMBRIDGE UNIV PRESS,2.5,2.4,2.4,0.43,Q2,,N/A,2632-8828,153,7,8,2.5,10.3,95/273
6322,TRANSFUSION MEDICINE REVIEWS,TRANSFUS MED REV,W B SAUNDERS CO-ELSEVIER INC,2.5,3.6,2.4,0.43,Q2,HEMATOLOGY|Q2|35/97,0887-7963,1532-9496,1604,0,20,8.5,7.4,44/98
6322,AIDS REVIEWS,AIDS REV,PERMANYER PUBL,2.5,2.1,2.5,0.42,Q2,INFECTIOUS DISEASES|Q3|90/132,1139-6121,1698-6997,563,9,16,8.5,8.0,68/137
6322,CURRENT OPINION IN GASTROENTEROLOGY,CURR OPIN GASTROEN,LIPPINCOTT WILLIAMS & WILKINS,2.5,2.5,2.5,0.42,Q2,GASTROENTEROLOGY & HEPATOLOGY|Q2|67/143,0267-1379,1531-7056,2975,56,64,8.3,5.1,68/147
6322,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,P I CIVIL ENG-ENG SU,EMERALD GROUP PUBLISHING LTD,2.5,2.0,2.0,0.42,Q2,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q4|78/91,1478-4629,1751-7680,721,30,30,6.0,6.4,74/183
6322,Qualitative Market Research,QUAL MARK RES,EMERALD GROUP PUBLISHING LTD,2.5,2.5,1.9,0.42,Q3,BUSINESS|Q3|210/302,1352-2752,1758-7646,1727,38,38,8.9,8.1,174/316
6322,CURRENT ORGANIC SYNTHESIS,CURR ORG SYNTH,BENTHAM SCIENCE PUBL LTD,2.5,2.2,2.4,0.41,Q2,"CHEMISTRY, ORGANIC|Q3|33/58",1570-1794,1875-6271,1524,44,75,5.8,9.1,19/57
6322,GENESIS,GENESIS,WILEY,2.5,2.2,2.5,0.41,Q2,GENETICS & HEREDITY|Q3|105/191,1526-954X,1526-968X,3578,14,24,16.1,12.5,13/39
6322,Harvard Data Science Review,HARVARD DATA SCI REV,MIT PRESS,2.5,N/A,2.4,0.41,Q1,,2688-8513,2644-2353,792,27,27,4.1,3.6,21/167
6322,INDIAN JOURNAL OF MEDICAL RESEARCH,INDIAN J MED RES,SCIENTIFIC SCHOLAR LLC,2.5,3.4,2.5,0.41,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q3|95/189",0971-5916,0971-5916,7728,100,125,9.3,8.2,74/332
6322,International Journal of Design Creativity and Innovation,INT J DES CREAT INNO,TAYLOR & FRANCIS LTD,2.5,2.0,2.4,0.40,Q3,"ENGINEERING, MANUFACTURING|Q4|60/68",2165-0349,2165-0357,244,14,14,5.6,10.7,44/71
6322,Planning Theory,PLAN THEOR,SAGE PUBLICATIONS INC,2.5,3.3,2.2,0.40,Q2,REGIONAL & URBAN PLANNING|Q1|11/54,1473-0952,1741-3052,1532,16,19,10.2,8.4,25/55
6322,Preventive Nutrition and Food Science,PREV NUTR FOOD SCI,KOREAN SOC FOOD SCIENCE NUTRITION,2.5,N/A,2.4,0.40,Q3,NUTRITION & DIETETICS|Q4|90/114,2287-1098,2287-8602,1425,50,58,6.2,7.4,101/181
6322,Oncologie,ONCOLOGIE,WALTER DE GRUYTER GMBH,2.5,1.9,2.5,0.39,Q3,ONCOLOGY|Q4|263/322,1292-3818,1765-2839,532,54,83,2.3,4.7,188/326
6322,Advances in Building Energy Research,ADV BUILD ENERGY RES,TAYLOR & FRANCIS LTD,2.5,2.2,2.5,0.38,Q2,CONSTRUCTION & BUILDING TECHNOLOGY|Q2|42/91,1751-2549,1756-2201,591,28,30,5.7,6.3,74/183
6322,CHEMICAL PAPERS,CHEM PAP,SPRINGER INT PUBL AG,2.5,2.3,2.4,0.38,Q3,"CHEMISTRY, MULTIDISCIPLINARY|Q3|129/230",0366-6352,2585-7290,8832,535,585,3.7,6.4,123/239
6322,Nano Express,NANO EXPRESS,IOP Publishing Ltd,2.5,2.9,2.4,0.38,Q3,"PHYSICS, APPLIED|Q2|76/179",N/A,2632-959X,1116,102,114,3.7,6.8,101/187
6322,Rheumatology and Immunology Research,RHEUMATOL IMMUNOL RE,WALTER DE GRUYTER GMBH,2.5,2.6,2.4,0.38,Q2,,N/A,2719-4523,240,15,19,2.8,6.5,27/58
6322,SEMINARS IN ONCOLOGY,SEMIN ONCOL,W B SAUNDERS CO-ELSEVIER INC,2.5,4.1,2.5,0.38,Q3,ONCOLOGY|Q2|142/322,0093-7754,1532-8708,4421,0,24,13.0,6.5,188/326
6322,Sustainable Environment,SUSTAIN ENVIRON,TAYLOR & FRANCIS LTD,2.5,2.9,2.5,0.38,Q3,ENVIRONMENTAL SCIENCES|Q3|228/358,2765-8511,2765-8511,336,80,96,2.3,6.6,228/374
6322,ADVANCES IN POLYMER TECHNOLOGY,ADV POLYM TECH,WILEY,2.5,2.8,2.4,0.37,Q3,POLYMER SCIENCE|Q3|62/94,0730-6679,1098-2329,3063,35,44,6.5,5.9,96/175
6322,CEREAL CHEMISTRY,CEREAL CHEM,WILEY,2.5,2.8,2.3,0.37,Q2,FOOD SCIENCE & TECHNOLOGY|Q3|104/173,0009-0352,1943-3638,6936,105,111,16.1,8.2,35/75
6322,Gastroenterology Review-Przeglad Gastroenterologiczny,GASTROENTEROL REV,TERMEDIA PUBLISHING HOUSE LTD,2.5,4.3,2.4,0.37,Q2,GASTROENTEROLOGY & HEPATOLOGY|Q3|102/143,1895-5770,1897-4317,1141,39,51,5.3,7.7,68/147
6322,Industrial Robot-The International Journal of Robotics Research and Application,IND ROBOT,EMERALD GROUP PUBLISHING LTD,2.5,2.4,2.2,0.37,Q3,ROBOTICS|Q3|31/46,0143-991X,1758-5791,2385,117,118,6.6,4.9,41/69
6322,International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,SPRINGER HEIDELBERG,2.5,2.7,2.2,0.37,Q3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q3|136/197",1433-2833,1433-2825,826,50,50,6.7,6.3,116/204
6322,Process Integration and Optimization for Sustainability,PROC INTEGR OPTIM,SPRINGERNATURE,2.5,2.1,2.3,0.37,Q3,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q4|73/91,2509-4238,2509-4246,765,80,83,2.7,4.9,96/175
6322,CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,CRIT REV THER DRUG,BEGELL HOUSE INC,2.5,3.0,2.1,0.34,Q3,PHARMACOLOGY & PHARMACY|Q2|136/354,0743-4863,2162-660X,1242,0,18,11.8,9.5,181/352
6322,Journal of the Canadian Health Libraries Association,J CAN HEALTH LIBRARI,CANADIAN HEALTH LIBRARIES ASSOC,2.5,1.5,2.5,0.34,Q2,INFORMATION SCIENCE & LIBRARY SCIENCE|Q3|93/160,1708-6892,1708-6892,256,9,11,10.3,5.3,49/166
6322,Physical Chemistry Research,PHYS CHEM RES,IRANIAN CHEMICAL SOC,2.5,1.7,2.1,0.34,Q3,"CHEMISTRY, MULTIDISCIPLINARY|Q3|157/230",2322-5521,2345-2625,669,80,80,3.2,7.8,123/239
6322,Chinese Clinical Oncology,CHIN CLIN ONCOL,AME PUBLISHING COMPANY,2.5,2.9,2.4,0.32,Q3,ONCOLOGY|Q3|214/322,2304-3865,2304-3873,1327,25,60,5.6,6.0,188/326
6322,Immuno,IMMUNO-BASEL,MDPI,2.5,2.0,2.5,0.29,Q3,IMMUNOLOGY|Q4|141/181,N/A,2673-5601,229,17,38,2.4,8.2,122/183
6322,Journal of Agricultural Engineering,J AGRIC ENG-ITALY,PAGEPRESS PUBL,2.5,2.8,2.4,0.23,Q2,AGRICULTURAL ENGINEERING|Q2|8/20,1974-7071,2239-6268,1070,55,56,6.3,5.7,8/20
6685,PAST & PRESENT,PAST PRESENT,OXFORD UNIV PRESS,2.4,3.0,2.3,5.80,Q1,HISTORY|Q1|3/518,0031-2746,1477-464X,3244,58,58,21.0,22.6,2/538
6685,Philosophy Compass,PHILOS COMPASS,WILEY,2.4,2.7,2.3,3.60,N/A,PHILOSOPHY|N/A|N/A,N/A,1747-9991,2481,58,58,8.7,10.2,N/A
6685,Journal of Contemporary China,J CONTEMP CHINA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.1,2.1,2.72,Q1,AREA STUDIES|Q1|7/176,1067-0564,1469-9400,2654,68,68,7.0,7.1,7/182
6685,ETHICS,ETHICS,UNIV CHICAGO PRESS,2.4,3.0,2.4,2.20,Q1,PHILOSOPHY|N/A|N/A,0014-1704,1539-297X,3495,14,15,23.2,14.7,17/77
6685,SCIENCE AS CULTURE,SCI CULT-UK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,2.7,2.3,2.13,Q1,HISTORY & PHILOSOPHY OF SCIENCE|Q1|9/104,0950-5431,1470-1189,1201,20,21,11.1,11.3,2/64
6685,JOURNAL OF PHONETICS,J PHONETICS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,2.4,2.7,2.0,1.91,Q1,LINGUISTICS|Q1|52/297,0095-4470,1095-8576,3868,51,51,14.0,14.8,40/303
6685,RIED-Revista Iberoamericana de Educacion a Distancia,RIED-REV IBEROAM EDU,ASOCIACION IBEROAMERICANA EDUCACION SUPERIOR & DISTANCIA - AIESAD,2.4,2.4,2.2,1.86,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|60/756,1138-2783,1390-3306,584,30,32,3.7,5.1,142/756
6685,Language Testing,LANG TEST,SAGE PUBLICATIONS LTD,2.4,3.1,2.0,1.84,Q1,LINGUISTICS|Q1|35/297,0265-5322,1477-0946,2237,22,26,12.0,8.9,40/303
6685,JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,2.4,3.0,2.1,1.81,Q1,ZOOLOGY|Q1|7/180,0022-2011,1096-0805,7339,158,161,11.7,9.7,15/181
6685,Journal of Law and the Biosciences,J LAW BIOSCI,OXFORD UNIV PRESS,2.4,3.0,2.3,1.74,Q1,"MEDICINE, LEGAL|Q1|3/23",2053-9711,2053-9711,894,27,29,4.2,5.9,30/434
6685,SOCIAL NETWORKS,SOC NETWORKS,ELSEVIER,2.4,2.9,2.2,1.73,Q1,SOCIOLOGY|Q1|31/217,0378-8733,1879-2111,6786,54,54,17.0,13.9,13/141
6685,Police Quarterly,POLICE Q,SAGE PUBLICATIONS INC,2.4,3.9,2.3,1.71,Q1,CRIMINOLOGY & PENOLOGY|Q1|10/113,1098-6111,1552-745X,1514,20,20,8.7,7.8,13/111
6685,Analysis and Applications,ANAL APPL,WORLD SCIENTIFIC PUBL CO PTE LTD,2.4,2.3,1.9,1.66,Q1,"MATHEMATICS, APPLIED|Q1|63/331",0219-5305,1793-6861,880,54,55,5.5,10.9,24/483
6685,European Journal of International Law,EUR J INT LAW,OXFORD UNIV PRESS,2.4,1.9,2.2,1.52,Q1,LAW|Q1|44/421,0938-5428,1464-3596,2226,35,41,12.3,13.0,30/434
6685,JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,2.4,2.3,2.0,1.42,Q1,OTORHINOLARYNGOLOGY|Q1|10/65,0892-1997,1873-4588,8284,275,301,8.9,12.2,11/67
6685,International Journal of Architectural Heritage,INT J ARCHIT HERIT,TAYLOR & FRANCIS INC,2.4,2.6,2.0,1.40,Q2,"ENGINEERING, CIVIL|Q2|73/181",1558-3058,1558-3066,2568,113,113,4.7,8.6,79/183
6685,IMA JOURNAL OF NUMERICAL ANALYSIS,IMA J NUMER ANAL,OXFORD UNIV PRESS,2.4,2.5,2.3,1.39,Q1,"MATHEMATICS, APPLIED|Q1|41/331",0272-4979,1464-3642,3968,108,110,9.3,12.2,43/343
6685,TEACHING IN HIGHER EDUCATION,TEACH HIGH EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.6,2.2,1.38,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|144/756,1356-2517,1470-1294,4165,63,63,6.4,7.2,142/756
6685,Applied Numerical Mathematics,APPL NUMER MATH,ELSEVIER,2.4,2.4,2.2,1.36,Q1,"MATHEMATICS, APPLIED|Q1|46/331",0168-9274,1873-5460,6678,300,300,6.5,11.9,43/343
6685,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,MEM AM MATH SOC,AMER MATHEMATICAL SOC,2.4,2.3,2.3,1.35,Q1,MATHEMATICS|Q1|29/489,0065-9266,1947-6221,3417,80,80,17.6,18.4,24/483
6685,SCIENTIFIC STUDIES OF READING,SCI STUD READ,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.8,2.2,1.33,Q1,"PSYCHOLOGY, EDUCATIONAL|Q2|21/74",1088-8438,1532-799X,2805,28,28,10.4,12.8,142/756
6685,International Journal of Legal Discourse,INT J LEGAL DISCOURS,DE GRUYTER MOUTON,2.4,1.9,1.1,1.32,Q1,LINGUISTICS|Q1|47/297,2364-8821,2364-883X,180,16,16,3.2,7.7,40/303
6685,Innovative Higher Education,INNOV HIGH EDUC,SPRINGER,2.4,2.5,2.2,1.31,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|169/756,0742-5627,1573-1758,1384,76,76,7.9,7.9,142/756
6685,ZDM-Mathematics Education,ZDM-MATH EDUC,SPRINGER HEIDELBERG,2.4,3.1,1.9,1.30,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q2|193/756,1863-9690,1863-9704,3924,93,95,6.6,8.4,142/756
6685,JOURNAL OF HIGHER EDUCATION,J HIGH EDUC-UK,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.7,2.3,1.24,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|120/756,0022-1546,1538-4640,3722,42,42,13.9,8.5,142/756
6685,Advances in Developing Human Resources,ADV DEV HUM RESOUR,SAGE PUBLICATIONS INC,2.4,3.2,2.0,1.23,Q2,INDUSTRIAL RELATIONS & LABOR|Q1|10/49,1523-4223,1552-3055,1534,8,8,10.8,8.4,18/52
6685,JOURNAL OF FURTHER AND HIGHER EDUCATION,J FURTH HIGHER EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,2.9,2.2,1.23,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|156/756,0309-877X,1469-9486,2347,65,65,4.9,7.8,142/756
6685,Sexuality Research and Social Policy,SEX RES SOC POLICY,SPRINGER,2.4,2.9,2.2,1.22,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|33/263",1868-9884,1553-6610,2729,140,140,4.5,7.1,44/271
6685,CLINICS IN PERINATOLOGY,CLIN PERINATOL,W B SAUNDERS CO-ELSEVIER INC,2.4,2.9,2.4,1.21,Q1,PEDIATRICS|Q1|29/186,0095-5108,1557-9840,3150,51,54,9.1,7.5,47/191
6685,Homicide Studies,HOMICIDE STUD,SAGE PUBLICATIONS INC,2.4,2.3,2.2,1.20,Q1,CRIMINOLOGY & PENOLOGY|Q3|61/113,1088-7679,1552-6720,861,18,19,10.4,7.5,13/111
6685,PREVENTIVE VETERINARY MEDICINE,PREV VET MED,ELSEVIER,2.4,2.8,2.1,1.20,Q1,VETERINARY SCIENCES|Q1|32/167,0167-5877,1873-1716,9332,191,200,9.0,7.6,26/170
6685,Social Movement Studies,SOC MOVEMENT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.5,2.1,1.20,Q1,SOCIOLOGY|Q1|40/217,1474-2837,1474-2829,2050,48,49,6.0,8.6,46/219
6685,Acta Orthopaedica,ACTA ORTHOP,Medical Journal Sweden AB,2.4,3.3,2.1,1.19,Q2,ORTHOPEDICS|Q1|33/136,1745-3674,1745-3682,8892,99,101,13.2,7.7,43/139
6685,AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,SPRINGER,2.4,2.8,2.0,1.19,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q2|193/756,0311-6999,2210-5328,1743,119,119,4.9,7.1,142/756
6685,INTERNATIONAL MIGRATION REVIEW,INT MIGR REV,SAGE PUBLICATIONS INC,2.4,3.5,2.2,1.19,Q1,DEMOGRAPHY|Q1|11/49,0197-9183,1747-7379,4961,76,76,15.2,7.8,12/50
6685,Myrmecological News,MYRMECOL NEWS,"OESTERREICHISCHE GESELL ENTOMOFAUNISTIK, C/O NATURHISTOR MUSEUM WIEN",2.4,3.2,2.3,1.19,Q1,ENTOMOLOGY|Q1|8/109,1994-4136,N/A,812,11,13,10.0,12.2,20/110
6685,Journal of Higher Education Policy and Management,J HIGH EDUC POLICY M,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.1,2.3,1.18,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|109/756,1360-080X,1469-9508,1629,32,34,7.8,7.2,142/756
6685,Journal of Information Technology & Politics,J INF TECHNOL POLITI,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.0,2.1,1.16,Q1,POLITICAL SCIENCE|Q1|59/317,1933-1681,1933-169X,1149,39,39,5.9,6.6,46/227
6685,Advances in Life Course Research,ADV LIFE COURSE RES,ELSEVIER SCI LTD,2.4,3.5,1.9,1.15,Q1,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q1|64/263",1569-4909,1879-6974,1382,32,32,6.8,10.3,44/271
6685,Global Constitutionalism,GLOB CONST,CAMBRIDGE UNIV PRESS,2.4,N/A,1.9,1.15,Q1,POLITICAL SCIENCE|Q3|206/317,2045-3817,2045-3825,352,54,54,4.2,7.7,30/434
6685,Journal of Diversity in Higher Education,J DIVERS HIGH EDUC,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,2.4,3.7,2.1,1.15,Q1,"PSYCHOLOGY, SOCIAL|Q2|32/76",1938-8926,1938-8934,2285,87,88,4.3,7.8,142/756
6685,SOCIOLOGICAL REVIEW,SOCIOL REV,SAGE PUBLICATIONS LTD,2.4,3.2,2.2,1.15,Q1,SOCIOLOGY|Q2|67/217,0038-0261,1467-954X,5533,71,71,11.2,10.7,46/219
6685,ATTACHMENT & HUMAN DEVELOPMENT,ATTACH HUM DEV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2.4,3.4,2.0,1.14,Q2,"PSYCHOLOGY, DEVELOPMENTAL|Q1|20/91",1461-6734,1469-2988,2720,45,48,11.1,13.4,37/94
6685,OPHTHALMIC AND PHYSIOLOGICAL OPTICS,OPHTHAL PHYSL OPT,WILEY,2.4,3.1,2.0,1.14,Q2,OPHTHALMOLOGY|Q1|23/95,0275-5408,1475-1313,4992,140,153,10.1,8.6,29/98
6685,Stata Journal,STATA J,SAGE PUBLICATIONS INC,2.4,6.1,2.2,1.14,Q1,STATISTICS & PROBABILITY|Q1|12/168,1536-867X,1536-8734,8391,35,35,12.5,13.1,28/167
6685,Psychology of Violence,PSYCHOL VIOLENCE,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,2.4,3.5,2.3,1.13,Q1,"PSYCHOLOGY, CLINICAL|Q2|65/180",2152-0828,2152-081X,2701,84,84,6.7,8.6,13/111
6685,Review of Economics and Political Science,REV ECON POLIT SCI-R,EMERALD GROUP PUBLISHING LTD,2.4,N/A,2.4,1.12,Q1,POLITICAL SCIENCE|Q2|116/317,2356-9980,2631-3561,271,33,33,2.5,10.3,71/322
6685,JOURNAL OF HEALTH COMMUNICATION,J HEALTH COMMUN,TAYLOR & FRANCIS INC,2.4,3.1,2.2,1.10,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE|Q1|33/160,1081-0730,1087-0415,5852,63,63,9.3,6.6,46/227
6685,JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,LIPPINCOTT WILLIAMS & WILKINS,2.4,2.4,2.2,1.09,Q1,SURGERY|Q2|79/290,0898-4921,1537-1921,1821,52,55,8.6,7.1,78/312
6685,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,2.4,2.7,2.3,1.08,Q1,ZOOLOGY|Q1|12/180,0145-305X,1879-0089,10115,145,146,8.6,9.4,15/181
6685,Hernia,HERNIA,SPRINGER,2.4,2.7,1.6,1.08,Q1,SURGERY|Q1|61/290,1265-4906,1248-9204,5389,184,226,6.5,7.3,78/312
6685,JOURNAL OF ECONOMIC ENTOMOLOGY,J ECON ENTOMOL,OXFORD UNIV PRESS INC,2.4,2.4,2.2,1.08,Q1,ENTOMOLOGY|Q1|23/109,0022-0493,1938-291X,16479,286,293,13.4,9.7,20/110
6685,RESEARCH IN NURSING & HEALTH,RES NURS HEALTH,WILEY,2.4,2.7,2.3,1.07,Q1,NURSING|Q2|52/191,0160-6891,1098-240X,7219,48,48,17.8,6.0,42/192
6685,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,SPRINGER,2.4,2.9,2.3,1.05,Q1,MECHANICS|Q2|64/170,0003-9527,1432-0673,12250,124,124,19.3,15.3,43/343
6685,INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,WILEY,2.4,3.0,2.3,1.05,Q2,OBSTETRICS & GYNECOLOGY|Q2|41/136,0020-7292,1879-3479,13634,532,659,6.5,7.4,42/140
6685,SCANDINAVIAN POLITICAL STUDIES,SCAND POLIT STUD,WILEY,2.4,2.1,2.2,1.05,Q1,POLITICAL SCIENCE|Q2|92/317,0080-6757,1467-9477,1034,30,30,15.0,8.6,71/322
6685,AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,MOSBY-ELSEVIER,2.4,2.6,2.2,1.03,Q2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|67/403",0196-6553,1527-3296,10038,222,236,8.0,5.6,157/419
6685,Journal of Perinatology,J PERINATOL,SPRINGERNATURE,2.4,2.8,2.1,1.03,Q1,PEDIATRICS|Q1|46/186,0743-8346,1476-5543,9511,262,308,7.6,7.5,47/191
6685,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AM J PHYS MED REHAB,LIPPINCOTT WILLIAMS & WILKINS,2.4,2.4,2.3,1.02,Q1,SPORT SCIENCES|Q2|45/127,0894-9115,1537-7385,7499,225,235,9.7,7.4,36/173
6685,Business and Politics,BUS POLIT,CAMBRIDGE UNIV PRESS,2.4,2.4,2.1,1.02,Q1,POLITICAL SCIENCE|Q2|141/317,N/A,1469-3569,849,46,46,7.5,8.3,34/169
6685,Cartography and Geographic Information Science,CARTOGR GEOGR INF SC,TAYLOR & FRANCIS INC,2.4,2.5,1.8,1.01,Q1,GEOGRAPHY|Q1|36/171,1523-0406,1545-0465,1503,45,47,8.1,7.8,41/173
6685,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,CYBERPSYCHOLOGY,"MASARYKOVA UNIV, FAC SOCIAL STUDIES",2.4,3.4,2.3,1.01,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q2|65/218",1802-7962,1802-7962,1159,52,52,5.8,7.8,46/227
6685,Research on Child and Adolescent Psychopathology,RES CHILD ADOLES PSY,SPRINGER,2.4,3.2,2.4,1.00,Q2,"PSYCHOLOGY, DEVELOPMENTAL|Q2|28/91",2730-7166,2730-7174,1389,112,116,3.0,9.3,65/185
